Year,Mean age at birth of first child (yrs)
1958,25.9
1959,25.8
1960,25.6
1961,25.4
1962,25.2
1963,25
1964,24.9
1965,24.7
1966,24.6
1967,24.5
1968,24.4
1969,24.3
1970,24.3
1971,24.3
1972,24.5
1973,24.7
1974,24.8
1975,25
1976,25.1
1977,25.3
1978,25.4
1979,25.5
1980,25.6
1981,25.7
1982,25.8
1983,26
1984,26.2
1985,26.5
1986,26.8
1987,27
1988,27.2
1989,27.3
1990,27.5
1991,27.7
1992,28
1993,28.3
1994,28.4
1995,28.6
1996,28.9
1997,29
1998,29.1
1999,29.1
2000,29.1
2001,29.2
2002,29.2
2003,29.3
2004,29.4
2005,29.4
2006,29.4
2007,29.4
2008,29.4
2009,29.4
2010,29.4
2011,29.4
2012,29.4
2013,29.4
2014,29.5
2015,29.6
2016,29.7
2017,29.8
2018,29.9