Year,Less than a high school diploma,4 years of high school,1 to 3 years of college,Bachelor's degree and higher
1970,33.5,44.3,10.9,11.2
1971,32.2,44.2,11.9,11.8
1972,30.7,45.1,11.8,12.4
1973,28.4,45.9,12.4,13.3
1974,26.7,45.3,13.4,14.6
1975,26.5,45.5,13.9,14.1
1976,24,45.1,14.7,16.2
1977,22.8,45.1,15.2,16.9
1978,22,44.9,16.1,17
1979,20.1,45,17.1,17.8
1980,18.4,45.4,17.4,18.7
1981,17.4,46.1,17.9,18.6
1982,16.6,45.6,18.3,19.5
1983,15.6,44.8,18.8,20.9
1984,14.5,44.9,18.9,21.7
1985,13.7,44.4,19.9,22
1986,13.2,44.3,20.3,22.2
1987,12.5,44,20.7,22.8
1988,12.4,43.3,21.2,23.1
1989,11.9,42.9,20.9,24.3
1990,11.3,42.4,21.9,24.5
1991,10.9,41.6,22.2,25.2
1992,10.3,37.4,27.3,25
1993,9.3,36.6,28.4,25.7
1994,9,35,29.8,26.2
1995,8.8,34.1,30.2,26.9
1996,8.8,33.6,29.9,27.8
1997,8.7,33.5,29.4,28.4
1998,8.8,32.7,29.4,29.2
1999,8.5,32.1,29.5,29.9
2000,8.5,31.6,29.8,30.1
2001,8.4,31,30.2,30.4
2002,8.1,30.6,29.9,31.3
2003,7.9,30,29.9,32.2
2004,7.7,29.4,30.2,32.6
2005,7.7,28.7,30.2,33.3
2006,7.6,28.3,30.2,33.9
2007,7.1,27.9,30.1,34.9
2008,6.9,27.2,30.4,35.6
2009,7,26.7,30.3,36
2010,6.8,26.4,30.3,36.4
2011,6.7,25.8,30.4,37.1
2012,6.5,25,30.4,38.1
2013,6.3,24.6,30.1,39
2014,6.1,24.1,29.8,40
2015,6.1,23.2,29.6,41.1
2016,6,22.9,29.6,41.6